time_stamp	english
BG_1_1	Dhritarashtra said: O Sanjaya, after my sons and the sons of Pandu assembled in the place of pilgrimage at Kurukshetra, desiring to fight, what did they do?
BG_1_2	Sanjaya said: O King, after looking over the army arranged in military formation by the sons of Pandu, King Duryodhana went to his teacher and spoke the following words.
BG_2_11	The Supreme Personality of Godhead said: While speaking learned words, you are mourning for what is not worthy of grief. Those who are wise lament neither for the living nor for the dead.
BG_2_19	He who thinks that this living entity is a slayer and he who thinks that it is slain, both of them are in ignorance, for the self slays not nor is slain. The atma is eternal, not the body.
BG_2_20	For the soul there is neither birth nor death at any time. He has not come into being, does not come into being, and will not come into being. He is unborn, eternal, ever-existing and primeval. He is not slain when the body is slain. This is the teaching of the Bhagavad-gita on the nature of the atma.
BG_4_7	Whenever and wherever there is a decline in religious practice, O descendant of Bharata, and a predominant rise of irreligion — at that time I descend Myself. This is the principle of dharma sanrakshana.
BG_4_8	To deliver the pious and to annihilate the miscreants, as well as to reestablish the principles of dharma, I Myself appear, millennium after millennium. Krishna promises this to Arjuna.
BG_6_5	One must deliver himself with the help of his mind, and not degrade himself. The mind is the friend of the conditioned soul, and his enemy as well. One who practices yoga and controls the mind achieves liberation through dhyana.
BG_7_1	Now hear, O son of Pritha, how by practicing yoga in full consciousness of Me, with mind attached to Me, you can know Me in full, free from doubt. This is the essence of bhakti yoga.
BG_9_22	But those who always worship Me with exclusive devotion, meditating on My transcendental form — to them I carry what they lack, and I preserve what they have. Krishna explains the path of ananya bhakti.
BG_10_8	I am the source of all spiritual and material worlds. Everything emanates from Me. The wise who perfectly know this engage in My devotional service and worship Me with all their hearts. Aham sarvasya prabhavo mattah sarvam pravartate.
BG_12_5	For those whose minds are attached to the unmanifested, impersonal feature of the Supreme, advancement is very troublesome. To make progress in that discipline is always difficult for those who are embodied. Nirguna brahman worship is difficult.
BG_15_15	I am seated in everyone's heart, and from Me come remembrance, knowledge and forgetfulness. By all the Vedas, I am to be known. Indeed, I am the compiler of Vedanta, and I am the knower of the Vedas. Sarvasya caham hrdi sannivisto.
BG_18_66	Abandon all varieties of dharma and just surrender unto Me. I shall deliver you from all sinful reaction. Do not fear. This is the final instruction of the Bhagavad-gita, sarva-dharman parityajya mam ekam saranam vraja.
SB_1_1_1	O my Lord, Sri Krishna, son of Vasudeva, O all-pervading Personality of Godhead, I offer my respectful obeisances unto You. I meditate upon Lord Sri Krishna because He is the Absolute Truth and the primeval cause of all causes. Om namo bhagavate vasudevaya.
SB_1_2_6	The supreme occupation for all humanity is that by which men can attain to loving devotional service unto the transcendent Lord. Such devotional service must be unmotivated and uninterrupted to completely satisfy the self. This is called uttama bhakti.
SB_2_9_36	Brahma, it is I, the Personality of Godhead, who was existing before the creation, when there was nothing but Myself. Nor was there the material nature, the cause of this creation. That which you see now is also I, the Personality of Godhead. Aham evasam evagre.
